osm_type,osm_id,kind,name,brand,operator,addr_full,addr_street,addr_city,addr_postcode,opening_hours,phone,website,lat,lon,nearest_charger_km,site_score
node,9368376586,fuel_agil,عجيل,Agil,,,,,,,,,33.8736555,7.8950627,284.44688470182376,284.64688470182375
node,9022342158,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,رمادة,,,,,32.3199182,10.3985487,282.17642964030284,282.37642964030283
node,7468425225,fuel_agil,عجيل,Agil,,,,,,,,,33.9781045,8.2080614,253.32519999672863,253.52519999672862
node,9944920261,fuel_agil,عجيل,Agil,,,,,,,,,33.3617719,8.6863593,252.19700944700168,252.39700944700166
way,1070347342,fuel_agil,عجيل,Agil,,,,,,,,,32.9315266,10.4508394,214.09221287471993,214.29221287471992
node,7375359117,fuel_agil,عجيل,Agil,,,,,4212.0,,,,33.7836983,8.8259197,213.2611876553606,213.4611876553606
node,9780231701,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,33.7162987,8.974592,206.49734869624697,206.69734869624696
node,7373218226,fuel_agil,عجيل,Agil,,,,Majel Bel Abbès,,,,,34.7473443,8.5221248,205.0325033491794,205.23250334917938
node,7468425221,fuel_agil,عجيل,Agil,SNDP,,,,,,,,33.0062543,10.811997,203.86042674564132,204.0604267456413
node,7468425237,fuel_agil,عجيل,Agil,,,,,,,,,34.9476154,8.5701795,200.5092024870339,200.70920248703388
node,9052966320,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,بنقردان,4160.0,,,,33.1399572,11.2173282,193.49904697466695,193.69904697466694
node,2163071584,fuel_agil,عجيل,Agil,الشركة الوطنية لتوزيع البترول,,,,,,,,34.4227125,8.7627364,188.92967598738073,189.12967598738072
node,7468425222,fuel_agil,Bir Lahmar,Agil,,,,,,,,,33.1775517,10.4427225,187.1345081501484,187.3345081501484
node,9383948057,fuel_agil,عجيل,Agil,,,,قفصة,,,,,34.4149613,8.792346,186.52876602958008,186.72876602958007
node,7468425235,fuel_agil,عجيل تالة,Agil,الشركة الوطنية لتوزيع البترول,,,تالة,1210.0,,,,35.57817,8.6691528,185.29956936125032,185.4995693612503
node,3201908000,fuel_agil,AGIL Sidi Aich,Agil,,,,Sidi Aich,,,,,34.7314404,8.783073,181.36439898591456,181.56439898591455
node,7468425236,fuel_agil,عجيل,Agil,,,,,,,,,35.1681883,8.8194814,180.9086396016312,181.10863960163118
node,7468425252,fuel_agil,عجيل,Agil,,,,,,,,,36.2156933,8.3572271,168.91275225050975,169.11275225050974
node,7468425224,fuel_agil,عجيل,Agil,,,,,,,,,33.3487276,10.4870122,167.6932721352743,167.8932721352743
node,9051778261,fuel_agil,عجيل,Agil,,,,,,,,,33.3672487,10.5054873,165.40379314414443,165.60379314414442
